,Week,Team,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,ScoreDiff,RushAttDiff,RushYdsDiff,PassAttDiff,PassCompDiff,PassYdsDiff,PassIntDiff,FumblesDiff
146,09/09/2000,Louisville,52.0,39,226,26,22,202,1,2,Grambling,0.0,37,-56,33,13,116,1,2,52.0,2,282,-7,9,86,0,0
147,09/09/2000,Louisiana State,28.0,39,120,26,12,177,2,1,Houston,13.0,27,84,54,29,354,2,2,15.0,12,36,-28,-17,-177,0,-1
148,09/09/2000,Louisiana Tech,7.0,19,45,33,16,122,5,2,Penn State,67.0,63,299,22,16,194,0,2,-60.0,-44,-254,11,0,-72,5,0
149,09/09/2000,Marshall,24.0,19,51,44,27,227,3,1,Michigan State,34.0,43,221,31,21,212,2,1,-10.0,-24,-170,13,6,15,1,0
150,09/09/2000,Michigan State,34.0,43,221,31,21,212,2,1,Marshall,24.0,19,51,44,27,227,3,1,10.0,24,170,-13,-6,-15,-1,0
151,09/09/2000,Maryland,17.0,36,100,23,11,154,0,3,Temple,10.0,36,104,37,25,339,1,1,7.0,0,-4,-14,-14,-185,-1,2
152,09/09/2000,Memphis,28.0,46,180,24,13,98,0,2,UL-Monroe,0.0,19,44,43,17,132,2,1,28.0,27,136,-19,-4,-34,-2,1
153,09/09/2000,"Miami, Florida",29.0,33,158,34,15,215,0,3,Washington,34.0,46,128,31,18,223,2,1,-5.0,-13,30,3,-3,-8,-2,2
154,09/09/2000,"Miami, Ohio",34.0,42,179,29,13,232,1,1,Eastern Michigan,17.0,32,135,43,23,228,1,0,17.0,10,44,-14,-10,4,0,1
155,09/09/2000,Michigan,38.0,49,230,19,13,166,0,0,Rice,7.0,46,164,11,5,107,0,2,31.0,3,66,8,8,59,0,-2
156,09/09/2000,Minnesota,17.0,26,147,28,10,223,1,1,Ohio,23.0,73,363,9,3,90,0,0,-6.0,-47,-216,19,7,133,1,1
157,09/09/2000,Mississippi,27.0,32,152,26,11,105,3,0,Auburn,35.0,51,261,27,13,160,0,1,-8.0,-19,-109,-1,-2,-55,3,-1
158,09/09/2000,Missouri,9.0,36,72,28,14,144,3,3,Clemson,62.0,50,206,24,15,275,0,1,-53.0,-14,-134,4,-1,-131,3,2
159,09/09/2000,Mid Tennessee St,0.0,35,90,32,17,139,1,4,Florida,55.0,30,158,41,26,299,1,2,-55.0,5,-68,-9,-9,-160,0,2
160,09/09/2000,North Carolina,35.0,49,129,13,7,194,0,1,Wake Forest,14.0,40,-2,34,14,164,0,1,21.0,9,131,-21,-7,30,0,0
161,09/09/2000,No Carolina State,41.0,23,73,52,31,401,1,0,Indiana,38.0,44,236,27,14,240,0,1,3.0,-21,-163,25,17,161,1,-1
162,09/09/2000,Notre Dame,24.0,40,184,15,3,40,1,0,Nebraska,27.0,59,274,15,7,103,1,0,-3.0,-19,-90,0,-4,-63,0,0
163,09/09/2000,Nebraska,27.0,59,274,15,7,103,1,0,Notre Dame,24.0,40,184,15,3,40,1,0,3.0,19,90,0,4,63,0,0
164,09/09/2000,UL-Monroe,0.0,19,44,43,17,132,2,1,Memphis,28.0,46,180,24,13,98,0,2,-28.0,-27,-136,19,4,34,2,-1
