,Unnamed: 0,Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Site,Line ,ScoreDiff,RushAttDiff,RushYdsDiff,PassAttDiff,PassCompDiff,PassYdsDiff,PassIntDiff,FumblesDiff,season
116,116,09/05/2008,Ball State,35,29,162,28,21,326,2,0,Navy,23,59,346,11,6,67,1,0,H,7,12,-30,-184,17,15,259,1,0,2008
117,117,09/05/2008,Navy,23,59,346,11,6,67,1,0,Ball State,35,29,162,28,21,326,2,0,V,-7,-12,30,184,-17,-15,-259,-1,0,2008
118,118,09/06/2008,Air Force,23,63,261,4,3,15,1,0,Wyoming,3,33,140,22,8,76,1,4,V,-3,20,30,121,-18,-5,-61,0,-4,2008
119,119,09/06/2008,Akron,42,46,218,26,20,260,1,0,Syracuse,28,43,218,20,13,135,1,1,V,-4.5,14,3,0,6,7,125,0,-1,2008
120,120,09/06/2008,Alabama,20,26,99,23,11,73,0,1,Tulane,6,32,86,50,29,232,0,0,H,29.5,14,-6,13,-27,-18,-159,0,1,2008
121,121,09/06/2008,Arizona,41,33,153,34,26,299,0,1,Toledo,16,24,74,31,21,170,0,0,H,23.5,25,9,79,3,5,129,0,1,2008
122,122,09/06/2008,Arizona State,41,36,127,36,27,345,1,1,Stanford,17,30,113,31,14,120,3,0,H,14.5,24,6,14,5,13,225,-2,1,2008
123,123,09/06/2008,Arkansas,28,36,183,34,22,323,0,0,UL-Monroe,27,26,71,40,23,270,0,0,H,14,1,10,112,-6,-1,53,0,0,2008
124,124,09/06/2008,Arkansas State,83,44,441,10,9,229,0,1,Texas Southern,10,39,95,31,10,128,2,3,H, ,73,5,346,-21,-1,101,-2,-2,2008
125,125,09/06/2008,Army,10,55,169,11,7,95,0,4,New Hampshire,28,38,184,17,12,138,1,1,H, ,-18,17,-15,-6,-5,-43,-1,3,2008
126,126,09/06/2008,Auburn,27,41,132,34,21,248,1,3,Southern Miss,13,27,37,50,33,268,2,1,H,19.5,14,14,95,-16,-12,-20,-1,2,2008
127,127,09/06/2008,Baylor,51,39,207,26,20,330,0,1,Northwestern St(LA),6,37,52,33,18,138,1,1,H, ,45,2,155,-7,2,192,-1,0,2008
128,128,09/06/2008,Boston College,16,41,120,36,18,142,2,1,Georgia Tech,19,40,162,13,6,73,0,3,H,6.5,-3,1,-42,23,12,69,2,-2,2008
129,129,09/06/2008,Bowling Green,17,26,128,45,29,261,1,4,Minnesota,42,45,164,25,21,233,0,0,H,5,-25,-19,-36,20,8,28,1,4,2008
130,130,09/06/2008,Brigham Young,28,27,142,41,30,338,1,1,Washington,27,35,133,32,17,204,0,0,V,8,1,-8,9,9,13,134,1,1,2008
131,131,09/06/2008,Buffalo,16,32,125,34,21,223,1,0,Pittsburgh,27,31,111,34,22,241,1,0,V,-13.5,-11,1,14,0,-1,-18,0,0,2008
132,132,09/06/2008,California,66,40,391,24,14,114,0,1,Washington State,3,35,57,30,13,110,4,0,V,13.5,63,5,334,-6,1,4,-4,1,2008
133,133,09/06/2008,Central Michigan,17,22,59,44,23,250,1,0,Georgia,56,36,263,33,23,289,0,1,V,-24,-39,-14,-204,11,0,-39,1,-1,2008
134,134,09/06/2008,Cincinnati,26,29,87,42,22,239,2,0,Oklahoma,52,44,197,38,29,395,2,0,V,-22.5,-26,-15,-110,4,-7,-156,0,0,2008
135,135,09/06/2008,Clemson,45,34,252,29,21,273,0,2,The Citadel,17,26,89,40,25,338,3,0,H, ,28,8,163,-11,-4,-65,-3,2,2008
136,136,09/06/2008,Colorado,31,33,90,39,28,261,1,1,Eastern Washington,24,22,47,51,32,303,2,1,H, ,7,11,43,-12,-4,-42,-1,0,2008
137,137,09/06/2008,Colorado State,23,29,95,33,21,321,1,0,Sacramento State,20,32,105,26,15,205,0,1,H, ,3,-3,-10,7,6,116,1,-1,2008
138,138,09/06/2008,Connecticut,12,55,293,22,10,86,1,1,Temple,9,34,128,28,11,170,2,0,V,6.5,3,21,165,-6,-1,-84,-1,1,2008
139,139,09/06/2008,Duke,20,44,178,47,29,294,0,1,Northwestern,24,27,77,33,15,251,0,0,H,-6.5,-4,17,101,14,14,43,0,1,2008
140,140,09/06/2008,East Carolina,24,42,143,29,23,243,0,0,West Virginia,3,36,179,18,11,72,0,2,H,-7.5,21,6,-36,11,12,171,0,-2,2008
